"","word","n","Year"
"1","yeah",525,2000
"2","na",412,2000
"3","chorus",366,2000
"4","love",312,2000
"5","baby",301,2000
"6","wanna",247,2000
"7","verse",206,2000
"8","girl",194,2000
"9","time",136,2000
"10","feat",133,2000
"11","ooh",117,2000
"12","da",112,2000
"13","gonna",111,2000
"14","1",110,2000
"15","feel",110,2000
"16","2",108,2000
"17","life",101,2000
"18","heart",94,2000
"19","lyrics",89,2000
"20","ya",88,2000
"21","night",84,2000
"22","rock",84,2000
"23","bridge",80,2000
"24","leave",78,2000
"25","pre",71,2000
"26","uh",69,2000
"27","ft",68,2000
"28","thong",64,2000
"29","bye",60,2000
"30","hey",60,2000
"31","day",55,2000
"32","world",54,2000
"33","fuck",53,2000
"34","mmmm",53,2000
"35","tonight",52,2000
"36","hate",49,2000
"37","real",49,2000
"38","outro",48,2000
"39","club",46,2000
"40","dance",46,2000
"41","fight",46,2000
"42","shady",46,2000
"43","ass",45,2000
"44","call",45,2000
"45","arms",44,2000
"46","dre",44,2000
"47","gon",44,2000
"48","intro",44,2000
"49","live",44,2000
"50","stand",44,2000
"51","step",44,2000
"52","shit",43,2000
"53","beep",42,2000
"54","left",42,2000
"55","ugh",42,2000
"56","feeling",41,2000
"57","mind",41,2000
"58","shake",41,2000
"59","whoa",41,2000
"60","hands",40,2000
"61","huh",40,2000
"62","low",40,2000
"63","dun",39,2000
"64","fall",39,2000
"65","talk",39,2000
"66","game",38,2000
"67","home",38,2000
"68","praise",38,2000
"69","stop",38,2000
"70","hear",37,2000
"71","hope",37,2000
"72","slim",36,2000
"73","tickets",36,2000
"74","eyes",35,2000
"75","hot",35,2000
"76","bout",34,2000
"77","leil",34,2000
"78","liveget",34,2000
"79","true",34,2000
"80","moonlight",33,2000
"81","y'all",33,2000
"82","boy",32,2000
"83","eminem",32,2000
"84","fly",32,2000
"85","3",31,2000
"86","child",31,2000
"87","dogs",31,2000
"88","dr",31,2000
"89","nyu",31,2000
"90","stay",31,2000
"91","sweet",31,2000
"92","told",31,2000
"93","beat",30,2000
"94","break",30,2000
"95","em",30,2000
"96","friends",30,2000
"97","gotta",30,2000
"98","happy",30,2000
"99","fool",29,2000
"100","ladies",29,2000
"101","listen",29,2000
"102","niggas",29,2000
"103","ready",29,2000
"104","watch",29,2000
"105","whatcha",29,2000
"106","hold",28,2000
"107","jid",28,2000
"108","reach",28,2000
"109","run",28,2000
"110","update",28,2000
"111","yo",28,2000
"112","bad",27,2000
"113","kid",27,2000
"114","lady",27,2000
"115","dogg",26,2000
"116","dreams",26,2000
"117","married",26,2000
"118","nigga",26,2000
"119","sexbomb",26,2000
"120","shalala",26,2000
"121","blue",25,2000
"122","cole",25,2000
"123","destiny's",25,2000
"124","dust",25,2000
"125","inside",25,2000
"126","i’m",25,2000
"127","jumpin",25,2000
"128","kick",25,2000
"129","lamar",25,2000
"130","lonely",25,2000
"131","start",25,2000
"132","wrong",25,2000
"133","act",24,2000
"134","cry",24,2000
"135","kendrick",24,2000
"136","mama",24,2000
"137","mine",24,2000
"138","move",24,2000
"139","remember",24,2000
"140","street",24,2000
"141","bitch",23,2000
"142","days",23,2000
"143","justin",23,2000
"144","lift",23,2000
"145","moment",23,2000
"146","play",23,2000
"147","remix",23,2000
"148","alive",22,2000
"149","beyoncé",22,2000
"150","dancing",22,2000
"151","dj",22,2000
"152","late",22,2000
"153","light",22,2000
"154","pimpin",22,2000
"155","stars",22,2000
"156","top",22,2000
"157","white",22,2000
"158","born",21,2000
"159","breathe",21,2000
"160","dream",21,2000
"161","fellas",21,2000
"162","ice",21,2000
"163","lie",21,2000
"164","maria",21,2000
