Song Name,Song Link,Artist,CD,holla,crunk
Oops!...I Did It Again,https://open.spotify.com/track/6naxalmIoLFWR0siv8dnQQ,Britney Spears,False,False,False
All The Small Things,https://open.spotify.com/track/2m1hi0nfMR9vdGC8UcrnwU,blink-182,False,False,False
Breathe,https://open.spotify.com/track/3y4LxiYMgDl4RethdzpmNe,Faith Hill,False,False,False
It's My Life,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,Bon Jovi,False,False,False
Bye Bye Bye,https://open.spotify.com/track/62bOmKYxYg7dhrC6gH9vFn,*NSYNC,False,False,False
Thong Song,https://open.spotify.com/track/5Mmk2ii6laakqfeCT7OnVD,Sisqo,False,False,False
The Real Slim Shady,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR,Eminem,False,False,False
Rock DJ,https://open.spotify.com/track/7oQSevUCbYs4QawXTHQVV1,Robbie Williams,False,False,False
Say My Name,https://open.spotify.com/track/7H6ev70Weq6DdpZyyTmUXk,Destiny's Child,False,False,False
Yellow,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg,Coldplay,False,False,False
In the End,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,False,False,False
Otherside,https://open.spotify.com/track/64BbK9SFKH2jk86U3dGj2P,Red Hot Chili Peppers,False,False,False
Kryptonite,https://open.spotify.com/track/6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,False,False,False
The Next Episode,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC,"Dr. Dre, Snoop Dogg",False,False,False
Maria Maria,https://open.spotify.com/track/3XKIUb7HzIF1Vu9usunMzc,"Santana, The Product G&B",False,False,False
Lady - Hear Me Tonight,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6,Modjo,False,False,False
Better Off Alone,https://open.spotify.com/track/5XVjNRubJUW0iPhhSWpLCj,Alice Deejay,False,False,False
Teenage Dirtbag,https://open.spotify.com/track/25FTMokYEbEWHEdss5JLZS,Wheatus,False,False,False
Take A Look Around,https://open.spotify.com/track/2avKuMN2QXkaG9vvHa2JLt,Limp Bizkit,False,False,False
L'Amour Toujours,https://open.spotify.com/track/52LJ3hyknOijCrE5gCD0rE,Gigi D'Agostino,False,False,False
Shape of My Heart,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D,Backstreet Boys,False,False,False
Higher,https://open.spotify.com/track/1ZozJfi8u9cO2Ob8KwiwNT,Creed,False,False,False
Forgot About Dre,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa,"Dr. Dre, Eminem",False,False,False
It's Gonna Be Me,https://open.spotify.com/track/2AW37v0bDyuOzGP3XnmFuA,*NSYNC,False,False,False
Party Up,https://open.spotify.com/track/0LWkaEyQRkF0XAms8Bg1fC,DMX,False,False,False
"Jumpin', Jumpin'",https://open.spotify.com/track/4pmc2AxSEq6g7hPVlJCPyP,Destiny's Child,False,False,False
Big Pimpin',https://open.spotify.com/track/7m97yKVzPpXV9Z4ezEziOD,"JAY-Z, UGK",False,True,True
7 Days,https://open.spotify.com/track/0gPQTLaqHDgdupKEok7J2x,Craig David,False,False,False
Sandstorm,https://open.spotify.com/track/6Sy9BUbgFse0n0LPA5lwy5,Darude,False,False,False
My Love,https://open.spotify.com/track/5p0ietGkLNEqx1Z7ijkw5g,Westlife,False,False,False
Breathless,https://open.spotify.com/track/5OQGeJ1ceykovrykZsGhqL,The Corrs,False,False,False
Amazed,https://open.spotify.com/track/6qc34bnVOyqGDPni8H5W0U,Lonestar,False,False,False
Country Grammar (Hot Shit),https://open.spotify.com/track/3wMUvT6eIw2L5cZFG1yH9j,Nelly,False,False,False
Show Me the Meaning of Being Lonely,https://open.spotify.com/track/3BsaRV5QIulYz2lV9WWa8T,Backstreet Boys,False,False,False
Can't Fight The Moonlight,https://open.spotify.com/track/2AogRMqARWyUP7VQ3gmSoY,LeAnn Rimes,False,False,False
Try Again,https://open.spotify.com/track/6Wnlq1Pu3I0BajLvxn05Vr,Aaliyah,False,False,False
This I Promise You,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26,*NSYNC,False,False,False
Lucky,https://open.spotify.com/track/2TTYIwTM2iLC1YOyHuhRMt,Britney Spears,False,False,False
He Wasn't Man Enough,https://open.spotify.com/track/7f1Dmr246cJ9uQYdbplTbh,Toni Braxton,False,False,False
I Wanna Know,https://open.spotify.com/track/1m2xMsxbtxv21Brome189p,Joe,False,False,False
